id,category,subcategory,topic_title,details,last_update,reference_source,keywords,note
CMEX-0030,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: กระดูกและข้อ (Orthopedics),"รายชื่อแพทย์:
- นพ.ศิริพงศ์ เชี่ยวชาญธนกิจ — Siriphong Chiewchantanakit, MD.
- นพ.ธนวัฒน์ วะสีนนท์ — Tanawat Vaseenon, MD.
- นพ.สักกาเดช ลิ้มมหาคุณ — Sakkadech Limmahakhun, MD.
- นพ.จิรชาติ ไกรศรินท์ — Jirachart Kraisarin, MD.
- นพ.พิชิตชัย อรรถโกมล — Pichitchai Atthakomol, MD.
- นพ.จิราวัฒน์ แสงสิน — Jirawat Saengsin, MD.
- นพ.นิชนันท์ กิจรานันทน์ — Nitchanant Kitcharanant, MD.
- นพ.ปวีร์ ชลิดาพงศ์ — Pawee Chalidapong, MD.
- นพ.รนกฤต เมธังกูร — Ronnakrit Maethungkul, MD.
- นพ.เฉลิมวุฒิ ปิยพัทธไชย์ — Chaloemwut Piyaphattachai, MD.
- นพ.คณิตศ์ สนั่นพานิช — Kanit Sananpanich, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,กระดูกและข้อ,CMEx",
CMEX-0031,Static Data,Patient Guidance,ความรู้ทั่วไป: อาการป่วยแบบนี้ควรไปแผนกไหน,"แนวทางเบื้องต้น (อาการ → แผนก/ชั้น):
- ปวดคอ บ่า ไหล่ → นัด Rehab ชั้น 6
- ปวดข้อเข่า เดินมีเสียงก๊อบแก๊บ → นัด Ortho ชั้น 6
- เป็นโรคเบาหวานเดิม ต้องการย้ายการรักษา → นัด Endocrine ชั้น 3
- ปรึกษาเรื่องลดน้ำหนัก → นัด Endocrine ชั้น 3
- ปวดศีรษะ มึนเล็กน้อย ยังไม่เคยรับการรักษา/ไม่เคยใช้ยา → นัด med ชั้น 3 หรือ 6 (ข้อความต้นฉบับระบุไม่ชัด)
- ตรวจสุขภาพประจำปี / วัคซีน → นัด med ชั้น 6
- ขาบวม แดง ร้อน → นัด ศัลยกรรมหลอดเลือด (surg vas) ชั้น 3
- ปวดข้อเท้าจากการเล่นกีฬา/ทำงาน → นัด ortho ชั้น 6
- มีก้อนที่เต้านม → นัด HNB ชั้น 3
- มีผล US จาก รพ. อื่น พบนิ่วในถุงน้ำดี → นัด HBP ชั้น 3",30/1/26,User provided (CMEx info),"อาการ,ไปแผนกไหน,triage,Rehab,Ortho,Endocrine,med,วัคซีน,ศัลยกรรมหลอดเลือด,HNB,HBP,US,ชั้น3,ชั้น6",เป็นแนวทางทั่วไป ไม่ใช่การวินิจฉัย และมี 1 บรรทัดที่ข้อความต้นฉบับระบุชั้นไม่ชัด
CMEX-0034,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: General Med (อายุรกรรมทั่วไป),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.พญ.สมหญิง (13:00–16:00)
- อังคาร: อ.พญ.สมหญิง (09:00–12:00)
- พุธ: อ.นพ.พุฒินาท (13:00–20:00)
- พฤหัสบดี: อ.พญ.ฟาติมา (13:00–16:00)
- ศุกร์: อ.พญ.สมหญิง (09:00–12:00)
- เสาร์: อ.นพ.พุฒินาท (09:00–16:00) [จัดวางจากข้อความอาจคลาดเคลื่อน]
- อาทิตย์: อ.นพ.พุฒินาท (09:00–16:00) และ/หรือ อ.พญ.ฟาติมา (09:00–12:00) [ข้อความต้นฉบับจัดวางไม่ชัด]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,GeneralMed",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0035,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Cardio (โรคหัวใจ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อังคาร: รศ.นพ.ศรัณย์ (09:00–12:00)
- พฤหัสบดี: อ.นพ.กฤษณ์ (16:00–20:00) / ผศ.พญ.พรรณนิภา (16:00–20:00) [อาจเป็นคนละสัปดาห์หรือคนละช่วง]
- ศุกร์: อ.นพ.ตุล (13:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Cardio",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0036,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Gastrointestinal and Liver (ทางเดินอาหารและตับ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.ธนภัทร (16:00–20:00)
- พฤหัสบดี: ศ.นพ.กำพล (13:00–16:00)
- เสาร์: อ.นพ.นวพล (13:00–16:00) [จากข้อความอาจคลาดเคลื่อน]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,GastrointestinalandLiver",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0037,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Chest (โรคปอด/นอนหลับ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.ปริญญา (16:00–20:00)
- อังคาร: รศ.นพ.ธีรกร (14:00–16:00)
- พุธ: ผศ.นพ.อติคุณ (09:00–12:00)
- พฤหัสบดี: ผศ.พญ.ภัทราพร (16:00–18:00)
- ศุกร์: อ.พญ.ณัฐชนก (16:00–18:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Chest",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0038,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Endocrine (ต่อมไร้ท่อ/เบาหวาน),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.พญ.ศุพรทิพย์ (13:00–16:00)
- อังคาร: ผศ.พญ.นิพาวรรณ (13:00–16:00)
- พุธ: อ.นพ.ณัทวุฒิ (13:00–16:00) และ (09:00–12:00)
- พฤหัสบดี: รศ.พญ.วรผกา (12:00–14:00) / รศ.พญ.ศุภวรรณ (09:00–12:00) / รศ.นพ.ณัฐพงศ์ (17:00–20:00)
- ศุกร์: รศ.พญ.เมตตาภรณ์ (13:00–16:00) / อ.พญ.ศุพรทิพย์ (09:00–12:00) / ผศ.พญ.นิพาวรรณ (09:00–12:00)
- เสาร์–อาทิตย์: อ.พญ.ศุพรทิพย์ (09:00–12:00) และ/หรือ (13:00–16:00) [จากข้อความมีหลายบรรทัดซ้ำ โปรดตรวจสอบตารางล่าสุด]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Endocrine",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0039,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Hemato (โรคเลือด),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- พฤหัสบดี: อ.พญ.ลลิตา (17:00–20:00)
- ศุกร์: อ.นพ.ปกป้อง (13:00–16:00)
- เสาร์: อ.พญ.ลลิตา (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Hemato",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0040,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Infectious (โรคติดเชื้อ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- ศุกร์: ผศ.พญ.ปาริชาติ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Infectious",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0041,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Neuro (สมองและประสาท),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: ผศ.นพ.อธิวัฒน์ (14:00–16:00)
- พุธ: ผศ.พญ.นันทพร (13:00–20:00)
- พฤหัสบดี: อ.นพ.นพดนัย (14:00–16:00)
- ศุกร์: อ.นพ.ธีรดนย์ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Neuro",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0042,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Nephro (โรคไต),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อังคาร: รศ.นพ.ขจรศักดิ์ (13:00–16:00)
- พุธ: อ.นพ.กานต์ (14:00–16:00)
- พฤหัสบดี: ผศ.นพ.สุรเชษฐ์ (13:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Nephro",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0043,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Onco (โรคมะเร็ง),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- พุธ: รศ.พญ.บุษยามาส (13:00–16:00) / อ.พญ.ธนิกา (16:00–20:00)
- พฤหัสบดี: ผศ.นพ.ธัชธรรม์ (09:00–12:00) / อ.นพ.ภัทรพงศ์ (16:00–20:00) [ชื่อจากข้อความตาราง]
- ศุกร์: รศ.พญ.บุษยามาส (13:00–16:00) / ผศ.นพ.ธัชธรรม์ (09:00–12:00) / อ.พญ.ธนิกา (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Onco",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0044,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Skin (โรคผิวหนัง),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: ผศ.นพ.นภัทร (09:00–12:00)
- พุธ: รศ.นพ.มติ (17:00–20:00)
- พฤหัสบดี: รศ.นพ.มติ (16:00–18:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Skin",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0045,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Allergy (โรคภูมิแพ้และภูมิคุ้มกัน),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- ศุกร์: อ.พญ.กนกกาญจน์ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Allergy",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0046,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Surgery (ศัลยกรรม),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.เอกรินทร์ (17:00–20:00)
- อังคาร: อ.นพ.วรกิตติ (Hepato/HBP) (16:00–20:00)
- พุธ: ผศ.นพ.สารนารถ (Vascular) (09:00–12:00)
- พฤหัสบดี: อ.พญ.อารีวรรณ (Breast) (13:00–16:00) / อ.พญ.ปีติชา (13:00–16:00) / รศ.นพ.ปวิธ (09:00–12:00) / อ.นพ.จักรกริช (Breast) (16:00–20:00)
- ศุกร์: อ.นพ.นครินทร์ (Intervention) (08:00–12:00) / อ.นพ.ชานน (Neuro) (10:00–12:00) / ผศ.นพ.สุวรรณ (17:00–20:00) / อ.พญ.จุฬารัตน์ (Breast) (16:00–20:00) / อ.นพ.วิชชา (13:00–16:00)
- เสาร์: อ.นพ.สัณหวิชญ์ (Hepato/HBP) (16:00–20:00) / อ.นพ.ปูรณ์ (Vascular) (14:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Surgery",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0047,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Uro (ทางเดินปัสสาวะ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: รศ.นพ.สุริธร (09:00–12:00)
- อังคาร: อ.นพ.ธีรภัทร (16:00–20:00)
- พุธ: อ.นพ.อัคร (10:00–12:00)
- พฤหัสบดี: รศ.นพ.พิษณุ (09:00–12:00)
- ศุกร์: อ.นพ.จรัสพงศ์ (13:00–16:00)
- เสาร์: อ.นพ.ธีรภัทร (13:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Uro",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0048,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Psychi (จิตเวช),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อาทิตย์/เสาร์ (ตามตาราง): รศ.พญ.สุรินทร์พร (09:00–12:00) [ข้อความตารางจัดวางใกล้คอลัมน์วันอาทิตย์/เสาร์]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Psychi",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0049,Dynamic Data,Doctor Schedule (CHC ชั้น 6),ตารางแพทย์ออกตรวจ CHC ชั้น 6: General Med (อายุรกรรมทั่วไป),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อังคาร: อ.นพ.ธีร์นวัช (09:00–12:00)
- พุธ: อ.พญ.ศุพรทิพย์ (13:00–16:00)
- พฤหัสบดี: อ.พญ.สมหญิง (13:00–16:00)
- ศุกร์: อ.พญ.ฟาติมา (09:00–12:00)
- เสาร์: อ.พญ.ฟาติมา (09:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,CHC,ชั้น6,คลินิกดูแลสุขภาพแบบบูรณาการ,GeneralMed",ตารางคัดลอกมาจากข้อความ อาจมีการซ้ำ/จัดวางไม่ชัดบางช่วง ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0050,Dynamic Data,Doctor Schedule (CHC ชั้น 6),ตารางแพทย์ออกตรวจ CHC ชั้น 6: Fam-Med (เวชศาสตร์ครอบครัว),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.ภาสวิชญ์ (09:00–16:00)
- อังคาร: อ.พญ.พิมลพรรณ (13:00–16:00)
- พฤหัสบดี: อ.นพ.ภาสวิชญ์ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,CHC,ชั้น6,คลินิกดูแลสุขภาพแบบบูรณาการ,Fam-Med",ตารางคัดลอกมาจากข้อความ อาจมีการซ้ำ/จัดวางไม่ชัดบางช่วง ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0051,Dynamic Data,Doctor Schedule (CHC ชั้น 6),ตารางแพทย์ออกตรวจ CHC ชั้น 6: Rehabilitation (เวชกรรมฟื้นฟู),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อังคาร: อ.นพ.พิชญ์ (09:00–16:00)
- พุธ: อ.นพ.พิชญ์ (13:00–16:00)
- ศุกร์: อ.นพ.พิชญ์ (09:00–12:00)
- เสาร์: อ.นพ.พิชญ์ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,CHC,ชั้น6,คลินิกดูแลสุขภาพแบบบูรณาการ,Rehabilitation",ตารางคัดลอกมาจากข้อความ อาจมีการซ้ำ/จัดวางไม่ชัดบางช่วง ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0052,Dynamic Data,Doctor Schedule (CHC ชั้น 6),ตารางแพทย์ออกตรวจ CHC ชั้น 6: Ortho (กระดูกและข้อ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.รนกฤต (13:00–16:00) / อ.นพ.คณิตศ์ (13:00–16:00) / ผศ.นพ.ศิริพงศ์ (13:00–16:00)
- อังคาร: ผศ.นพ.สักกาเดช (09:00–12:00) / อ.นพ.จิราวัฒน์ (13:00–16:00) / อ.นพ.ปวีร์ (13:00–16:00)
- พุธ: รศ.นพ.ธนวัฒน์ (09:00–12:00)
- พฤหัสบดี: ผศ.นพ.พิชิตชัย (13:00–16:00) / อ.นพ.นิชนันท์ (09:00–12:00) / อ.นพ.นิชนันท์ (13:00–16:00)
- ศุกร์: รศ.นพ.จิรชาติ (13:00–16:00) / ผศ.นพ.สักกาเดช (09:00–12:00) / อ.นพ.เฉลิมวุฒิ (09:00–12:00)
- เสาร์: อ.นพ.รนกฤต (09:00–12:00) / อ.นพ.รนกฤต (13:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,CHC,ชั้น6,คลินิกดูแลสุขภาพแบบบูรณาการ,Ortho",ตารางคัดลอกมาจากข้อความ อาจมีการซ้ำ/จัดวางไม่ชัดบางช่วง ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0053,Dynamic Data,Eligibility Verification,ผลตรวจสอบสิทธิ์รายบุคคล,"กระบวนการตรวจสอบสิทธิ์:
- ตรวจสอบสิทธิ์โดยเวชระเบียน
- กรณีรับยาทางไปรษณีย์ หรือรับยาไม่พบแพทย์: พยาบาลโทรตรวจสอบสิทธิ์กับเวชระเบียน
หมายเหตุ: ใช้เพื่อพิจารณาออกเอกสาร เช่น ใบรับรองยา/แพทย์ เอกสารเบิกอุปกรณ์ และเอกสารเบิกยาเฉพาะทาง",30/1/26,User provided (CMEx info),"ตรวจสอบสิทธิ์,เวชระเบียน,เบิกยา,รับยาทางไปรษณีย์,ใบรับรองแพทย์,เอกสารเบิกอุปกรณ์,ยาเฉพาะทาง",